Year,Statistic Label,Counties & Dublin Postal Districts,Sector,UNIT,VALUE
2015,Metered Electricity Consumption,Dublin 6,All sectors,Gigawatt Hours,125
2015,Metered Electricity Consumption,Dublin 6,10 Residential,Gigawatt Hours,72
2015,Metered Electricity Consumption,Dublin 6,20 Non-residential,Gigawatt Hours,53
2015,Metered Electricity Consumption,Dublin 6W,All sectors,Gigawatt Hours,52
2015,Metered Electricity Consumption,Dublin 6W,10 Residential,Gigawatt Hours,37
2015,Metered Electricity Consumption,Dublin 6W,20 Non-residential,Gigawatt Hours,15
2015,Metered Electricity Consumption,Dublin 7,All sectors,Gigawatt Hours,237
2015,Metered Electricity Consumption,Dublin 7,10 Residential,Gigawatt Hours,107
2015,Metered Electricity Consumption,Dublin 7,20 Non-residential,Gigawatt Hours,130
2015,Metered Electricity Consumption,Dublin 8,All sectors,Gigawatt Hours,270
2015,Metered Electricity Consumption,Dublin 8,10 Residential,Gigawatt Hours,104
2015,Metered Electricity Consumption,Dublin 8,20 Non-residential,Gigawatt Hours,166
2015,Metered Electricity Consumption,Dublin 9,All sectors,Gigawatt Hours,195
2015,Metered Electricity Consumption,Dublin 9,10 Residential,Gigawatt Hours,87
2016,Metered Electricity Consumption,Dublin 9,20 Non-residential,Gigawatt Hours,108
2016,Metered Electricity Consumption,Dublin 10,All sectors,Gigawatt Hours,83
2016,Metered Electricity Consumption,Dublin 10,10 Residential,Gigawatt Hours,28
2016,Metered Electricity Consumption,Dublin 10,20 Non-residential,Gigawatt Hours,54
2016,Metered Electricity Consumption,Dublin 11,All sectors,Gigawatt Hours,210
2016,Metered Electricity Consumption,Dublin 11,10 Residential,Gigawatt Hours,89
2016,Metered Electricity Consumption,Dublin 11,20 Non-residential,Gigawatt Hours,121
2016,Metered Electricity Consumption,Dublin 12,All sectors,Gigawatt Hours,286
2016,Metered Electricity Consumption,Dublin 12,10 Residential,Gigawatt Hours,70
2016,Metered Electricity Consumption,Dublin 12,20 Non-residential,Gigawatt Hours,216
2016,Metered Electricity Consumption,Dublin 13,All sectors,Gigawatt Hours,137
2016,Metered Electricity Consumption,Dublin 13,10 Residential,Gigawatt Hours,89
2016,Metered Electricity Consumption,Dublin 13,20 Non-residential,Gigawatt Hours,48
2016,Metered Electricity Consumption,Dublin 14,All sectors,Gigawatt Hours,128
2016,Metered Electricity Consumption,Dublin 14,10 Residential,Gigawatt Hours,70
2016,Metered Electricity Consumption,Dublin 14,20 Non-residential,Gigawatt Hours,58
2016,Metered Electricity Consumption,Dublin 15,All sectors,Gigawatt Hours,494
2016,Metered Electricity Consumption,Dublin 15,10 Residential,Gigawatt Hours,161
2016,Metered Electricity Consumption,Dublin 15,20 Non-residential,Gigawatt Hours,333
2016,Metered Electricity Consumption,Dublin 16,All sectors,Gigawatt Hours,131
2016,Metered Electricity Consumption,Dublin 16,10 Residential,Gigawatt Hours,72
2016,Metered Electricity Consumption,Dublin 16,20 Non-residential,Gigawatt Hours,59
2016,Metered Electricity Consumption,Dublin 17,All sectors,Gigawatt Hours,150
2016,Metered Electricity Consumption,Dublin 17,10 Residential,Gigawatt Hours,27
2016,Metered Electricity Consumption,Dublin 17,20 Non-residential,Gigawatt Hours,123
2016,Metered Electricity Consumption,Dublin 18,All sectors,Gigawatt Hours,245
2016,Metered Electricity Consumption,Dublin 18,10 Residential,Gigawatt Hours,104
2016,Metered Electricity Consumption,Dublin 18,20 Non-residential,Gigawatt Hours,142
2016,Metered Electricity Consumption,Dublin 20,All sectors,Gigawatt Hours,35
2016,Metered Electricity Consumption,Dublin 20,10 Residential,Gigawatt Hours,20
2016,Metered Electricity Consumption,Dublin 20,20 Non-residential,Gigawatt Hours,14
2016,Metered Electricity Consumption,Dublin 22,All sectors,Gigawatt Hours,285
2016,Metered Electricity Consumption,Dublin 22,10 Residential,Gigawatt Hours,76
2016,Metered Electricity Consumption,Dublin 22,20 Non-residential,Gigawatt Hours,210
2016,Metered Electricity Consumption,Dublin 24,All sectors,Gigawatt Hours,462
2016,Metered Electricity Consumption,Dublin 24,10 Residential,Gigawatt Hours,152
2016,Metered Electricity Consumption,Dublin 24,20 Non-residential,Gigawatt Hours,310
2016,Metered Electricity Consumption,Co. Dublin,All sectors,Gigawatt Hours,1182
2016,Metered Electricity Consumption,Co. Dublin,10 Residential,Gigawatt Hours,488
2016,Metered Electricity Consumption,Co. Dublin,20 Non-residential,Gigawatt Hours,694
2016,Metered Electricity Consumption,Co. Galway,All sectors,Gigawatt Hours,1111
2016,Metered Electricity Consumption,Co. Galway,10 Residential,Gigawatt Hours,474
2016,Metered Electricity Consumption,Co. Galway,20 Non-residential,Gigawatt Hours,637
2016,Metered Electricity Consumption,Co. Kildare,All sectors,Gigawatt Hours,918
2016,Metered Electricity Consumption,Co. Kildare,10 Residential,Gigawatt Hours,372
2016,Metered Electricity Consumption,Co. Kildare,20 Non-residential,Gigawatt Hours,547
2016,Metered Electricity Consumption,Co. Kilkenny,All sectors,Gigawatt Hours,371
2016,Metered Electricity Consumption,Co. Kilkenny,10 Residential,Gigawatt Hours,163
2016,Metered Electricity Consumption,Co. Kilkenny,20 Non-residential,Gigawatt Hours,208
2016,Metered Electricity Consumption,Co. Kerry,All sectors,Gigawatt Hours,689
2017,Metered Electricity Consumption,Co. Kerry,10 Residential,Gigawatt Hours,300
2017,Metered Electricity Consumption,Co. Kerry,20 Non-residential,Gigawatt Hours,390
2017,Metered Electricity Consumption,Co. Longford,All sectors,Gigawatt Hours,211
2017,Metered Electricity Consumption,Co. Longford,10 Residential,Gigawatt Hours,76
2017,Metered Electricity Consumption,Co. Longford,20 Non-residential,Gigawatt Hours,135
2017,Metered Electricity Consumption,Co. Louth,All sectors,Gigawatt Hours,547
2017,Metered Electricity Consumption,Co. Louth,10 Residential,Gigawatt Hours,230
2017,Metered Electricity Consumption,Co. Louth,20 Non-residential,Gigawatt Hours,317
2017,Metered Electricity Consumption,Co. Limerick,All sectors,Gigawatt Hours,1024
2017,Metered Electricity Consumption,Co. Limerick,10 Residential,Gigawatt Hours,362
2017,Metered Electricity Consumption,Co. Limerick,20 Non-residential,Gigawatt Hours,661
2017,Metered Electricity Consumption,Co. Leitrim,All sectors,Gigawatt Hours,124
2017,Metered Electricity Consumption,Co. Leitrim,10 Residential,Gigawatt Hours,64
2017,Metered Electricity Consumption,Co. Leitrim,20 Non-residential,Gigawatt Hours,60
2017,Metered Electricity Consumption,Co. Laois,All sectors,Gigawatt Hours,291
2017,Metered Electricity Consumption,Co. Laois,10 Residential,Gigawatt Hours,132
2017,Metered Electricity Consumption,Co. Laois,20 Non-residential,Gigawatt Hours,159
2017,Metered Electricity Consumption,Co. Meath,All sectors,Gigawatt Hours,620
2017,Metered Electricity Consumption,Co. Meath,10 Residential,Gigawatt Hours,317
2017,Metered Electricity Consumption,Co. Meath,20 Non-residential,Gigawatt Hours,303
2017,Metered Electricity Consumption,Co. Monaghan,All sectors,Gigawatt Hours,330
2017,Metered Electricity Consumption,Co. Monaghan,10 Residential,Gigawatt Hours,113
2017,Metered Electricity Consumption,Co. Monaghan,20 Non-residential,Gigawatt Hours,217
2017,Metered Electricity Consumption,Co. Mayo,All sectors,Gigawatt Hours,584
2017,Metered Electricity Consumption,Co. Mayo,10 Residential,Gigawatt Hours,240
2017,Metered Electricity Consumption,Co. Mayo,20 Non-residential,Gigawatt Hours,344
2017,Metered Electricity Consumption,Co. Offaly,All sectors,Gigawatt Hours,281
2017,Metered Electricity Consumption,Co. Offaly,10 Residential,Gigawatt Hours,125
2017,Metered Electricity Consumption,Co. Offaly,20 Non-residential,Gigawatt Hours,156
2017,Metered Electricity Consumption,Co. Roscommon,All sectors,Gigawatt Hours,231
2017,Metered Electricity Consumption,Co. Roscommon,10 Residential,Gigawatt Hours,100
2017,Metered Electricity Consumption,Co. Roscommon,20 Non-residential,Gigawatt Hours,131
2017,Metered Electricity Consumption,Co. Sligo,All sectors,Gigawatt Hours,304
2017,Metered Electricity Consumption,Co. Sligo,10 Residential,Gigawatt Hours,120
2017,Metered Electricity Consumption,Co. Sligo,20 Non-residential,Gigawatt Hours,184
2017,Metered Electricity Consumption,Co. Tipperary,All sectors,Gigawatt Hours,777
2017,Metered Electricity Consumption,Co. Tipperary,10 Residential,Gigawatt Hours,316
2017,Metered Electricity Consumption,Co. Tipperary,20 Non-residential,Gigawatt Hours,461
2017,Metered Electricity Consumption,Co. Waterford,All sectors,Gigawatt Hours,676
2017,Metered Electricity Consumption,Co. Waterford,10 Residential,Gigawatt Hours,226
2017,Metered Electricity Consumption,Co. Waterford,20 Non-residential,Gigawatt Hours,450
2017,Metered Electricity Consumption,Co. Wicklow,All sectors,Gigawatt Hours,565
2017,Metered Electricity Consumption,Co. Wicklow,10 Residential,Gigawatt Hours,261
2017,Metered Electricity Consumption,Co. Wicklow,20 Non-residential,Gigawatt Hours,304
2017,Metered Electricity Consumption,Co. Westmeath,All sectors,Gigawatt Hours,463
2017,Metered Electricity Consumption,Co. Westmeath,10 Residential,Gigawatt Hours,179
2017,Metered Electricity Consumption,Co. Westmeath,20 Non-residential,Gigawatt Hours,284
2017,Metered Electricity Consumption,Co. Wexford,All sectors,Gigawatt Hours,615
2017,Metered Electricity Consumption,Co. Wexford,10 Residential,Gigawatt Hours,290
2017,Metered Electricity Consumption,Co. Wexford,20 Non-residential,Gigawatt Hours,325
2018,Metered Electricity Consumption,All Counties and Dublin Postal Districts,All sectors,Gigawatt Hours,25356
2018,Metered Electricity Consumption,All Counties and Dublin Postal Districts,10 Residential,Gigawatt Hours,8397
2018,Metered Electricity Consumption,All Counties and Dublin Postal Districts,20 Non-residential,Gigawatt Hours,16959
2018,Metered Electricity Consumption,Not coded,All sectors,Gigawatt Hours,3411
2018,Metered Electricity Consumption,Not coded,10 Residential,Gigawatt Hours,2
2018,Metered Electricity Consumption,Not coded,20 Non-residential,Gigawatt Hours,3409
2018,Metered Electricity Consumption,Co. Clare,All sectors,Gigawatt Hours,530
2018,Metered Electricity Consumption,Co. Clare,10 Residential,Gigawatt Hours,202
2018,Metered Electricity Consumption,Co. Clare,20 Non-residential,Gigawatt Hours,328
2018,Metered Electricity Consumption,Co. Cork,All sectors,Gigawatt Hours,2862
2018,Metered Electricity Consumption,Co. Cork,10 Residential,Gigawatt Hours,1010
2018,Metered Electricity Consumption,Co. Cork,20 Non-residential,Gigawatt Hours,1852
2018,Metered Electricity Consumption,Co. Cavan,All sectors,Gigawatt Hours,478
2018,Metered Electricity Consumption,Co. Cavan,10 Residential,Gigawatt Hours,138
2018,Metered Electricity Consumption,Co. Cavan,20 Non-residential,Gigawatt Hours,340
2018,Metered Electricity Consumption,Co. Carlow,All sectors,Gigawatt Hours,253
2018,Metered Electricity Consumption,Co. Carlow,10 Residential,Gigawatt Hours,109
2018,Metered Electricity Consumption,Co. Carlow,20 Non-residential,Gigawatt Hours,144
2018,Metered Electricity Consumption,Co. Donegal,All sectors,Gigawatt Hours,611
2018,Metered Electricity Consumption,Co. Donegal,10 Residential,Gigawatt Hours,272
2018,Metered Electricity Consumption,Co. Donegal,20 Non-residential,Gigawatt Hours,338
2018,Metered Electricity Consumption,Dublin 1,All sectors,Gigawatt Hours,374
2018,Metered Electricity Consumption,Dublin 1,10 Residential,Gigawatt Hours,60
2018,Metered Electricity Consumption,Dublin 1,20 Non-residential,Gigawatt Hours,315
2018,Metered Electricity Consumption,Dublin 2,All sectors,Gigawatt Hours,533
2018,Metered Electricity Consumption,Dublin 2,10 Residential,Gigawatt Hours,35
2018,Metered Electricity Consumption,Dublin 2,20 Non-residential,Gigawatt Hours,498
2018,Metered Electricity Consumption,Dublin 3,All sectors,Gigawatt Hours,154
2018,Metered Electricity Consumption,Dublin 3,10 Residential,Gigawatt Hours,66
2018,Metered Electricity Consumption,Dublin 3,20 Non-residential,Gigawatt Hours,89
2018,Metered Electricity Consumption,Dublin 4,All sectors,Gigawatt Hours,386
2018,Metered Electricity Consumption,Dublin 4,10 Residential,Gigawatt Hours,91
2018,Metered Electricity Consumption,Dublin 4,20 Non-residential,Gigawatt Hours,295
2018,Metered Electricity Consumption,Dublin 5,All sectors,Gigawatt Hours,136
2018,Metered Electricity Consumption,Dublin 5,10 Residential,Gigawatt Hours,74
2018,Metered Electricity Consumption,Dublin 5,20 Non-residential,Gigawatt Hours,62
2018,Metered Electricity Consumption,Dublin 6,All sectors,Gigawatt Hours,139
2018,Metered Electricity Consumption,Dublin 6,10 Residential,Gigawatt Hours,82
2018,Metered Electricity Consumption,Dublin 6,20 Non-residential,Gigawatt Hours,57
2018,Metered Electricity Consumption,Dublin 6W,All sectors,Gigawatt Hours,59
2018,Metered Electricity Consumption,Dublin 6W,10 Residential,Gigawatt Hours,42
2018,Metered Electricity Consumption,Dublin 6W,20 Non-residential,Gigawatt Hours,17
2018,Metered Electricity Consumption,Dublin 7,All sectors,Gigawatt Hours,223
2018,Metered Electricity Consumption,Dublin 7,10 Residential,Gigawatt Hours,93
2018,Metered Electricity Consumption,Dublin 7,20 Non-residential,Gigawatt Hours,129
2018,Metered Electricity Consumption,Dublin 8,All sectors,Gigawatt Hours,266
2018,Metered Electricity Consumption,Dublin 8,10 Residential,Gigawatt Hours,103
2018,Metered Electricity Consumption,Dublin 8,20 Non-residential,Gigawatt Hours,163
2018,Metered Electricity Consumption,Dublin 9,All sectors,Gigawatt Hours,193
2018,Metered Electricity Consumption,Dublin 9,10 Residential,Gigawatt Hours,84
2019,Metered Electricity Consumption,Dublin 9,20 Non-residential,Gigawatt Hours,109
2019,Metered Electricity Consumption,Dublin 10,All sectors,Gigawatt Hours,82
2019,Metered Electricity Consumption,Dublin 10,10 Residential,Gigawatt Hours,28
2019,Metered Electricity Consumption,Dublin 10,20 Non-residential,Gigawatt Hours,54
2019,Metered Electricity Consumption,Dublin 11,All sectors,Gigawatt Hours,211
2019,Metered Electricity Consumption,Dublin 11,10 Residential,Gigawatt Hours,87
2019,Metered Electricity Consumption,Dublin 11,20 Non-residential,Gigawatt Hours,124
2019,Metered Electricity Consumption,Dublin 12,All sectors,Gigawatt Hours,292
2019,Metered Electricity Consumption,Dublin 12,10 Residential,Gigawatt Hours,81
2019,Metered Electricity Consumption,Dublin 12,20 Non-residential,Gigawatt Hours,212
2019,Metered Electricity Consumption,Dublin 13,All sectors,Gigawatt Hours,128
2019,Metered Electricity Consumption,Dublin 13,10 Residential,Gigawatt Hours,81
2019,Metered Electricity Consumption,Dublin 13,20 Non-residential,Gigawatt Hours,47
2019,Metered Electricity Consumption,Dublin 14,All sectors,Gigawatt Hours,140
2019,Metered Electricity Consumption,Dublin 14,10 Residential,Gigawatt Hours,78
2019,Metered Electricity Consumption,Dublin 14,20 Non-residential,Gigawatt Hours,62
2019,Metered Electricity Consumption,Dublin 15,All sectors,Gigawatt Hours,485
2019,Metered Electricity Consumption,Dublin 15,10 Residential,Gigawatt Hours,157
2019,Metered Electricity Consumption,Dublin 15,20 Non-residential,Gigawatt Hours,327
2019,Metered Electricity Consumption,Dublin 16,All sectors,Gigawatt Hours,140
2019,Metered Electricity Consumption,Dublin 16,10 Residential,Gigawatt Hours,80
2019,Metered Electricity Consumption,Dublin 16,20 Non-residential,Gigawatt Hours,60
2019,Metered Electricity Consumption,Dublin 17,All sectors,Gigawatt Hours,163
2019,Metered Electricity Consumption,Dublin 17,10 Residential,Gigawatt Hours,32
2019,Metered Electricity Consumption,Dublin 17,20 Non-residential,Gigawatt Hours,132
2019,Metered Electricity Consumption,Dublin 18,All sectors,Gigawatt Hours,232
2019,Metered Electricity Consumption,Dublin 18,10 Residential,Gigawatt Hours,93
2019,Metered Electricity Consumption,Dublin 18,20 Non-residential,Gigawatt Hours,140
2019,Metered Electricity Consumption,Dublin 20,All sectors,Gigawatt Hours,34
2019,Metered Electricity Consumption,Dublin 20,10 Residential,Gigawatt Hours,20
2019,Metered Electricity Consumption,Dublin 20,20 Non-residential,Gigawatt Hours,14
2019,Metered Electricity Consumption,Dublin 22,All sectors,Gigawatt Hours,276
2019,Metered Electricity Consumption,Dublin 22,10 Residential,Gigawatt Hours,71
2019,Metered Electricity Consumption,Dublin 22,20 Non-residential,Gigawatt Hours,205
2019,Metered Electricity Consumption,Dublin 24,All sectors,Gigawatt Hours,473
2019,Metered Electricity Consumption,Dublin 24,10 Residential,Gigawatt Hours,154
2019,Metered Electricity Consumption,Dublin 24,20 Non-residential,Gigawatt Hours,319
2019,Metered Electricity Consumption,Co. Dublin,All sectors,Gigawatt Hours,1199
2019,Metered Electricity Consumption,Co. Dublin,10 Residential,Gigawatt Hours,487
2019,Metered Electricity Consumption,Co. Dublin,20 Non-residential,Gigawatt Hours,712
2019,Metered Electricity Consumption,Co. Galway,All sectors,Gigawatt Hours,1128
2019,Metered Electricity Consumption,Co. Galway,10 Residential,Gigawatt Hours,474
2019,Metered Electricity Consumption,Co. Galway,20 Non-residential,Gigawatt Hours,653
2019,Metered Electricity Consumption,Co. Kildare,All sectors,Gigawatt Hours,930
2019,Metered Electricity Consumption,Co. Kildare,10 Residential,Gigawatt Hours,377
2019,Metered Electricity Consumption,Co. Kildare,20 Non-residential,Gigawatt Hours,553
2019,Metered Electricity Consumption,Co. Kilkenny,All sectors,Gigawatt Hours,385
2019,Metered Electricity Consumption,Co. Kilkenny,10 Residential,Gigawatt Hours,165
2019,Metered Electricity Consumption,Co. Kilkenny,20 Non-residential,Gigawatt Hours,220
2019,Metered Electricity Consumption,Co. Kerry,All sectors,Gigawatt Hours,692
2020,Metered Electricity Consumption,Co. Kerry,10 Residential,Gigawatt Hours,298
2020,Metered Electricity Consumption,Co. Kerry,20 Non-residential,Gigawatt Hours,393
2020,Metered Electricity Consumption,Co. Longford,All sectors,Gigawatt Hours,215
2020,Metered Electricity Consumption,Co. Longford,10 Residential,Gigawatt Hours,77
2020,Metered Electricity Consumption,Co. Longford,20 Non-residential,Gigawatt Hours,138
2020,Metered Electricity Consumption,Co. Louth,All sectors,Gigawatt Hours,558
2020,Metered Electricity Consumption,Co. Louth,10 Residential,Gigawatt Hours,228
2020,Metered Electricity Consumption,Co. Louth,20 Non-residential,Gigawatt Hours,330
2020,Metered Electricity Consumption,Co. Limerick,All sectors,Gigawatt Hours,1042
2020,Metered Electricity Consumption,Co. Limerick,10 Residential,Gigawatt Hours,367
2020,Metered Electricity Consumption,Co. Limerick,20 Non-residential,Gigawatt Hours,675
2020,Metered Electricity Consumption,Co. Leitrim,All sectors,Gigawatt Hours,122
2020,Metered Electricity Consumption,Co. Leitrim,10 Residential,Gigawatt Hours,62
2020,Metered Electricity Consumption,Co. Leitrim,20 Non-residential,Gigawatt Hours,60
2020,Metered Electricity Consumption,Co. Laois,All sectors,Gigawatt Hours,295
2020,Metered Electricity Consumption,Co. Laois,10 Residential,Gigawatt Hours,133
2020,Metered Electricity Consumption,Co. Laois,20 Non-residential,Gigawatt Hours,162
2020,Metered Electricity Consumption,Co. Meath,All sectors,Gigawatt Hours,638
2020,Metered Electricity Consumption,Co. Meath,10 Residential,Gigawatt Hours,323
2020,Metered Electricity Consumption,Co. Meath,20 Non-residential,Gigawatt Hours,314
2020,Metered Electricity Consumption,Co. Monaghan,All sectors,Gigawatt Hours,341
2020,Metered Electricity Consumption,Co. Monaghan,10 Residential,Gigawatt Hours,115
2020,Metered Electricity Consumption,Co. Monaghan,20 Non-residential,Gigawatt Hours,226
2020,Metered Electricity Consumption,Co. Mayo,All sectors,Gigawatt Hours,588
2020,Metered Electricity Consumption,Co. Mayo,10 Residential,Gigawatt Hours,238
2020,Metered Electricity Consumption,Co. Mayo,20 Non-residential,Gigawatt Hours,350
2020,Metered Electricity Consumption,Co. Offaly,All sectors,Gigawatt Hours,289
2020,Metered Electricity Consumption,Co. Offaly,10 Residential,Gigawatt Hours,127
2020,Metered Electricity Consumption,Co. Offaly,20 Non-residential,Gigawatt Hours,162
2020,Metered Electricity Consumption,Co. Roscommon,All sectors,Gigawatt Hours,227
2020,Metered Electricity Consumption,Co. Roscommon,10 Residential,Gigawatt Hours,96
2020,Metered Electricity Consumption,Co. Roscommon,20 Non-residential,Gigawatt Hours,131
2020,Metered Electricity Consumption,Co. Sligo,All sectors,Gigawatt Hours,304
2020,Metered Electricity Consumption,Co. Sligo,10 Residential,Gigawatt Hours,118
2020,Metered Electricity Consumption,Co. Sligo,20 Non-residential,Gigawatt Hours,186
2020,Metered Electricity Consumption,Co. Tipperary,All sectors,Gigawatt Hours,796
2020,Metered Electricity Consumption,Co. Tipperary,10 Residential,Gigawatt Hours,322
2020,Metered Electricity Consumption,Co. Tipperary,20 Non-residential,Gigawatt Hours,474
2020,Metered Electricity Consumption,Co. Waterford,All sectors,Gigawatt Hours,677
2020,Metered Electricity Consumption,Co. Waterford,10 Residential,Gigawatt Hours,230
2020,Metered Electricity Consumption,Co. Waterford,20 Non-residential,Gigawatt Hours,447
2020,Metered Electricity Consumption,Co. Wicklow,All sectors,Gigawatt Hours,569
2020,Metered Electricity Consumption,Co. Wicklow,10 Residential,Gigawatt Hours,264
2020,Metered Electricity Consumption,Co. Wicklow,20 Non-residential,Gigawatt Hours,305
2020,Metered Electricity Consumption,Co. Westmeath,All sectors,Gigawatt Hours,468
2020,Metered Electricity Consumption,Co. Westmeath,10 Residential,Gigawatt Hours,177
2020,Metered Electricity Consumption,Co. Westmeath,20 Non-residential,Gigawatt Hours,291
2020,Metered Electricity Consumption,Co. Wexford,All sectors,Gigawatt Hours,630
2020,Metered Electricity Consumption,Co. Wexford,10 Residential,Gigawatt Hours,293
2020,Metered Electricity Consumption,Co. Wexford,20 Non-residential,Gigawatt Hours,337
2021,Metered Electricity Consumption,All Counties and Dublin Postal Districts,All sectors,Gigawatt Hours,25725
2021,Metered Electricity Consumption,All Counties and Dublin Postal Districts,10 Residential,Gigawatt Hours,8414
2021,Metered Electricity Consumption,All Counties and Dublin Postal Districts,20 Non-residential,Gigawatt Hours,17312
2021,Metered Electricity Consumption,Not coded,All sectors,Gigawatt Hours,3640
2021,Metered Electricity Consumption,Not coded,10 Residential,Gigawatt Hours,3
2021,Metered Electricity Consumption,Not coded,20 Non-residential,Gigawatt Hours,3637
2021,Metered Electricity Consumption,Co. Clare,All sectors,Gigawatt Hours,535
2021,Metered Electricity Consumption,Co. Clare,10 Residential,Gigawatt Hours,204
2021,Metered Electricity Consumption,Co. Clare,20 Non-residential,Gigawatt Hours,330
2021,Metered Electricity Consumption,Co. Cork,All sectors,Gigawatt Hours,2871
2021,Metered Electricity Consumption,Co. Cork,10 Residential,Gigawatt Hours,1009
2021,Metered Electricity Consumption,Co. Cork,20 Non-residential,Gigawatt Hours,1862
2021,Metered Electricity Consumption,Co. Cavan,All sectors,Gigawatt Hours,469
2021,Metered Electricity Consumption,Co. Cavan,10 Residential,Gigawatt Hours,138
2021,Metered Electricity Consumption,Co. Cavan,20 Non-residential,Gigawatt Hours,331
2021,Metered Electricity Consumption,Co. Carlow,All sectors,Gigawatt Hours,258
2021,Metered Electricity Consumption,Co. Carlow,10 Residential,Gigawatt Hours,109
2021,Metered Electricity Consumption,Co. Carlow,20 Non-residential,Gigawatt Hours,148
2021,Metered Electricity Consumption,Co. Donegal,All sectors,Gigawatt Hours,618
2021,Metered Electricity Consumption,Co. Donegal,10 Residential,Gigawatt Hours,273
2021,Metered Electricity Consumption,Co. Donegal,20 Non-residential,Gigawatt Hours,345
2021,Metered Electricity Consumption,Dublin 1,All sectors,Gigawatt Hours,371
2021,Metered Electricity Consumption,Dublin 1,10 Residential,Gigawatt Hours,59
2021,Metered Electricity Consumption,Dublin 1,20 Non-residential,Gigawatt Hours,312
2021,Metered Electricity Consumption,Dublin 2,All sectors,Gigawatt Hours,517
2021,Metered Electricity Consumption,Dublin 2,10 Residential,Gigawatt Hours,34
2021,Metered Electricity Consumption,Dublin 2,20 Non-residential,Gigawatt Hours,483
2021,Metered Electricity Consumption,Dublin 3,All sectors,Gigawatt Hours,153
2021,Metered Electricity Consumption,Dublin 3,10 Residential,Gigawatt Hours,66
2021,Metered Electricity Consumption,Dublin 3,20 Non-residential,Gigawatt Hours,88
2021,Metered Electricity Consumption,Dublin 4,All sectors,Gigawatt Hours,376
2021,Metered Electricity Consumption,Dublin 4,10 Residential,Gigawatt Hours,90
2021,Metered Electricity Consumption,Dublin 4,20 Non-residential,Gigawatt Hours,286
2021,Metered Electricity Consumption,Dublin 5,All sectors,Gigawatt Hours,137
2021,Metered Electricity Consumption,Dublin 5,10 Residential,Gigawatt Hours,74
2021,Metered Electricity Consumption,Dublin 5,20 Non-residential,Gigawatt Hours,63
2021,Metered Electricity Consumption,Dublin 6,All sectors,Gigawatt Hours,138
2021,Metered Electricity Consumption,Dublin 6,10 Residential,Gigawatt Hours,81
